Country Name,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo,Togo
Country Code,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO,TGO
Indicator Name,"Population, total","Death rate, crude (per 1,000 people)","Cause of death, by non-communicable diseases (% of total)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",Number of deaths ages 5-9 years,"Population, male","Population ages 15-64, total","Cause of death, by injury (% of total)",Number of deaths ages 15-19 years,"Condom use, population ages 15-24, female (% of females ages 15-24)","Population, female","Fertility rate, total (births per woman)",Domestic general government health expenditure per capita (current US$),"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",External health expenditure per capita (current US$),"Mortality caused by road traffic injury (per 100,000 population)",Number of infant deaths,Number of deaths ages 10-14 years,Number of deaths ages 20-24 years,"Condom use, population ages 15-24, male (% of males ages 15-24)"
,,,,,,,,,,,,,,,,,,,,
1960,1651367,22.426,,,,814226,870744,,,,837141,6.717,,,,,11696,,,
1961,1678788,22.209,,,,827764,884680,,,,851024,6.753,,,,,11795,,,
1962,1706841,21.951,,,,841671,899343,,,,865169,6.803,,,,,11915,,,
1963,1736697,21.745,,,,856514,914969,,,,880183,6.85,,,,,12041,,,
1964,1772652,21.441,,,,874389,933387,,,,898263,6.873,,,,,12129,,,
1965,1820396,21.185,,,,898112,957721,,,,922283,6.902,,,,,12231,,,
1966,1882458,20.831,,,,928953,989615,,,,953505,6.935,,,,,12403,,,
1967,1957164,20.436,,,,966076,1027955,,,,991088,6.959,,,,,12624,,,
1968,2038765,20.028,,,,1006649,1069701,,,,1032116,6.976,,,,,12872,,,
1969,2120486,19.695,,,,1047356,1111070,,,,1073130,7.039,,,,,13167,,,
1970,2197383,19.311,,,,1085717,1149363,,,,1111666,7.066,,,,,13444,,,
1971,2267211,18.923,,,,1120582,1183524,,,,1146629,7.103,,,,,13644,,,
1972,2330704,18.517,,,,1152340,1214018,,,,1178364,7.118,,,,,13802,,,
1973,2390909,18.11,,,,1182523,1242429,,,,1208387,7.128,,,,,13887,,,
1974,2450335,17.711,,,,1212387,1270123,,,,1237948,7.15,,,,,13942,,,
1975,2509713,17.24,,,,1242309,1297604,,,,1267403,7.153,,,,,13965,,,
1976,2569671,16.795,,,,1272540,1325230,,,,1297131,7.144,,,,,13982,,,
1977,2630626,16.443,,,,1303273,1353468,,,,1327353,7.111,,,,,13971,,,
1978,2693400,16.059,,,,1334932,1383084,,,,1358468,7.063,,,,,13902,,,
1979,2761240,15.635,,,,1369109,1415820,,,,1392132,6.999,,,,,13803,,,
1980,2838110,15.259,,,,1407774,1453741,,,,1430336,6.936,,,,,13717,,,
1981,2925865,14.85,,,,1451784,1497813,,,,1474081,6.865,,,,,13689,,,
1982,3023343,14.468,,,,1500536,1547425,,,,1522806,6.772,,,,,13703,,,
1983,3126635,14.158,,,,1552167,1600553,,,,1574468,6.696,,,,,13750,,,
1984,3232244,13.818,,,,1604938,1655613,,,,1627306,6.616,,,,,13833,,,
1985,3336508,13.546,,,,1656948,1710869,,,,1679560,6.535,,,,,13918,,,
1986,3439370,13.319,,,,1708215,1766218,,,,1731156,6.461,,,,,14002,,,
1987,3544927,13.076,,,,1760789,1823804,,,,1784138,6.385,,,,,14117,,,
1988,3653420,12.854,,,,1814799,1883901,,,,1838621,6.302,,,,,14218,,,
1989,3763657,12.761,,,,1869689,1946094,,,,1893968,6.219,,,,,14302,,,
1990,3875947,12.707,,,2892,1925696,2010518,,985,,1950251,6.133,,,,,14403,853,884,
1991,3990215,12.698,,,2869,1982825,2077144,,1022,,2007390,6.049,,,,,14529,864,913,
1992,4106219,12.617,,,2845,2040975,2145859,,1064,,2065244,5.947,,,,,14625,874,948,
1993,4078392,12.603,,,2818,2027770,2140304,,1109,,2050622,5.845,,,,,14685,885,988,
1994,4092612,12.615,,,2597,2035479,2157291,,1076,,2057133,5.745,,,,,14212,833,962,
1995,4279566,12.537,,,2623,2129035,2265354,,1145,,2150532,5.646,,,,,13880,862,1026,
1996,4445883,12.428,,,2622,2212365,2363767,,1207,,2233519,5.543,,,,,14066,881,1087,
1997,4592550,12.306,,,2611,2285950,2454661,,1263,,2306599,5.441,,,,,14149,897,1145,
1998,4728297,12.258,,,2573,2354170,2541940,,1307,13.1,2374127,5.384,,,,,14204,906,1200,37.3
1999,4867941,12.044,,,2532,2424508,2630687,,1351,,2443433,5.335,,,,,14277,912,1253,
2000,5008035,11.898,28.84450651,63.57356596,2489,2495124,2717963,7.581926907,1388,,2512911,5.269,1.16921516,,0.44471251,30.1,14300,917,1302,
2001,5145426,11.8,,,2441,2564478,2801334,,1420,,2580948,5.23,1.26315731,,0.50506042,30.4,14286,924,1341,
2002,5281538,11.526,,,2391,2633356,2882108,,1443,,2648182,5.194,1.4871811,,0.62937968,30.8,14249,928,1373,
2003,5421001,11.316,,,2340,2703985,2964523,,1458,,2717015,5.145,1.98404738,,0.89461603,30.9,14166,931,1398,
2004,5565218,11.304,,,2292,2777186,3050559,,1466,,2788032,5.075,2.43270685,,1.17614271,31,14017,935,1415,
2005,5711597,11.071,,,2249,2851642,3137573,,1474,,2859955,5.069,2.71367874,,1.41518547,30.9,13918,939,1433,
2006,5874240,10.919,,,2209,2934396,3236512,,1472,,2939845,5.078,3.04818807,,1.72428394,31.2,13919,942,1444,
2007,6047537,10.775,,,2168,3022581,3341264,,1472,,3024956,5.092,3.69925748,,2.28157949,31.1,14015,945,1466,
2008,6222482,10.663,,,2122,3111737,3444356,,1462,,3110745,5.052,4.4164798,,2.98401268,31.3,14060,947,1475,
2009,6398624,10.488,,,2074,3201540,3546203,,1446,,3197084,5.034,5.03704766,,3.09084723,31.3,14038,953,1486,
2010,6571855,10.326,34.35151364,56.59303705,2024,3289956,3642640,9.055450194,1421,,3281899,5.007,8.11417708,,1.83410847,31.1,14020,959,1484,
2011,6748672,9.98,,,1974,3380347,3740661,,1390,,3368325,4.917,8.29309592,,2.95795631,31.1,13861,967,1475,
2012,6926635,9.866,,,1928,3471351,3840352,,1360,,3455284,4.806,9.11822819,,3.6951311,30.6,13568,973,1468,
2013,7106229,9.537,,,1885,3563146,3942919,,1336,,3543083,4.723,8.14077573,,6.65164695,30.7,13306,981,1458,
2014,7288383,9.438,,,1848,3656155,4049753,,1321,26.5,3632229,4.655,8.75690192,,6.4466797,30.3,13090,988,1456,54
2015,7473229,9.165,38.21149764,51.94282208,1813,3750461,4160508,9.845681634,1316,,3722767,4.594,7.11912808,,5.81084776,29.9,12890,991,1463,
2016,7661354,9.092,,,1776,3846363,4274720,,1314,,3814990,4.56,7.72910547,,7.97524724,29.6,12726,994,1469,
2017,7852795,8.803,,,1737,3943847,4392678,,1311,,3908948,4.503,8.53730117,,7.94162438,29.2,12556,1001,1479,
2018,8046679,8.766,,,1700,4042391,4513947,,1307,,4004288,4.442,9.01252125,,5.11742339,28.8,12343,1006,1493,
2019,8243094,8.465,41.12047384,48.56244122,1658,4142015,4637815,10.31708446,1305,,4101080,4.385,7.5622961,42.4,4.57205282,28.7,12158,1011,1508,
2020,8442580,8.417,,,1617,4243063,4765331,,1300,,4199517,4.323,11.16012368,,5.39255372,,11984,1018,1529,
2021,8644829,8.168,,,1577,4345278,4897786,,1295,,4299551,4.257,,,,,11797,1023,1556,
2022,8848699,,,,,4448225,5035345,,,,4400474,,,,,,,,,
